# MJD Mag Magerr
5.874019810190000135e+04 1.980460739999999831e+01 5.353280912747120784e-02
5.874119497689999844e+04 1.988106159999999889e+01 5.667474074106986642e-02
5.874319554400000197e+04 2.022005079999999921e+01 7.289610405588999031e-02
5.874419454859999678e+04 1.982725519999999975e+01 5.444479316886010473e-02
5.874519467589999840e+04 2.017277149999999963e+01 7.039933511381102349e-02
5.874719457179999881e+04 2.020335010000000153e+01 7.200517213901193314e-02
5.874819344909999927e+04 2.022238349999999940e+01 7.302139064959417558e-02
5.874919523150000168e+04 2.002842899999999915e+01 6.325389543704593165e-02
5.875019553240000096e+04 2.017201229999999867e+01 7.035980664266117124e-02
5.875119315970000025e+04 2.016435050000000118e+01 6.996280967209195234e-02
5.875126920139999856e+04 2.004216770000000025e+01 8.271419615274468173e-02
5.875716648149999673e+04 2.025206379999999839e+01 7.463120550399265918e-02
5.875718237270000100e+04 2.018377489999999952e+01 9.094837895923643667e-02
5.875718724539999675e+04 2.008365440000000035e+01 8.507906669916195930e-02
5.875737895830000343e+04 2.018327139999999886e+01 7.094708583591563533e-02
5.875820966439999756e+04 2.006754300000000057e+01 6.512014730325715872e-02
5.876019402779999655e+04 2.021484179999999853e+01 7.261715467335258523e-02
5.876119304399999965e+04 2.024015239999999949e+01 7.398138002893647758e-02
5.876219223380000039e+04 2.010917470000000051e+01 6.716326849575333935e-02
5.876226401620000252e+04 2.012302779999999913e+01 8.736119231715158695e-02
5.876226446759999817e+04 2.008283039999999886e+01 8.503177256920907423e-02
5.876433890049999900e+04 2.007664869999999979e+01 6.556197802573410227e-02
5.876436796299999696e+04 2.003080750000000165e+01 8.207395409589390844e-02
5.876436841439999989e+04 2.019778439999999975e+01 9.178623685533218723e-02
5.876528537040000083e+04 2.020677759999999878e+01 9.232603297970183587e-02
5.876625864580000052e+04 1.985604289999999850e+01 7.265404372702029268e-02
5.877219138889999886e+04 1.993713759999999979e+01 7.692211833795208065e-02
5.877219184030000179e+04 2.011927800000000133e+01 8.714231306988953762e-02
5.877418759259999933e+04 2.016938779999999909e+01 7.022366178793575109e-02
5.878118774310000299e+04 1.993725969999999847e+01 5.910087141276457179e-02
5.878118910879999748e+04 2.016886709999999994e+01 9.006096631280834097e-02
5.878118956020000041e+04 1.990763469999999913e+01 7.534824996388200802e-02
5.878224986109999736e+04 2.013638690000000153e+01 8.814335848316107169e-02
5.878225031250000029e+04 2.021614070000000041e+01 9.288959920562786521e-02
5.878318929400000343e+04 2.034767529999999880e+01 1.009490354203917695e-01
5.878318974539999908e+04 2.019100570000000161e+01 9.138039433248373866e-02
5.878522427079999761e+04 2.008579830000000044e+01 6.600883995438054652e-02
5.879116070600000239e+04 2.017020420000000058e+01 9.014041329520856849e-02
5.879116115739999805e+04 2.032343290000000025e+01 9.944701687346485519e-02
5.879116252309999982e+04 1.994065090000000140e+01 5.925051380457199007e-02
5.879117218750000029e+04 2.000730709999999846e+01 6.226741154443005133e-02
5.879320756940000138e+04 2.016863629999999930e+01 9.004722652094311608e-02
5.879320803239999805e+04 2.020414350000000070e+01 9.216775066226713664e-02
5.879417391199999838e+04 2.008215709999999987e+01 6.583059042636937863e-02
5.879515217590000248e+04 2.013668630000000093e+01 6.854609606298329993e-02
5.879516307870000310e+04 2.010181240000000003e+01 8.612706400270429830e-02
5.879615667820000090e+04 2.012234499999999926e+01 6.782195522085932016e-02
5.879619656250000116e+04 1.993968200000000124e+01 7.705901138236267989e-02
5.879619701389999682e+04 2.004994770000000059e+01 8.315448891797254383e-02
5.879716329859999678e+04 1.990437890000000110e+01 5.766918510040699997e-02
5.879717400459999772e+04 2.016955379999999920e+01 7.023219126348380359e-02
5.879718067129999690e+04 2.019794459999999958e+01 9.179581532379013642e-02
5.879718112269999983e+04 2.016572000000000031e+01 8.987420314844100921e-02
5.880618410880000010e+04 2.045741269999999901e+01 8.662323234578152287e-02
5.881118060189999960e+04 2.023477550000000136e+01 7.368971333093943255e-02
5.883111315969999850e+04 2.012809939999999997e+01 6.811167270830335851e-02
5.885015126160000364e+04 1.983441540000000103e+01 5.473641249070280990e-02
5.885609298609999678e+04 2.022844309999999979e+01 7.334748071991295526e-02
5.885908334489999834e+04 2.017489810000000006e+01 7.050997059643038245e-02
5.886212170139999944e+04 2.028114700000000070e+01 7.623897045583247212e-02
5.887513853009999730e+04 2.033423810000000032e+01 7.925098442128490628e-02
5.898745116899999994e+04 2.040870089999999948e+01 8.364377711206882893e-02
5.899247048609999911e+04 2.043815989999999871e+01 8.543569741846696042e-02
5.899642243060000328e+04 2.032144930000000116e+01 7.851630683959312518e-02
5.900244645830000081e+04 2.055232619999999955e+01 9.174205682364364178e-02
5.902238825229999929e+04 2.065530589999999833e+01 9.654536459888610200e-02
5.902534635420000268e+04 2.047360039999999870e+01 8.763180632495234934e-02
5.902838912040000287e+04 2.070899010000000118e+01 9.904939305273412209e-02
5.904046600690000196e+04 2.056605910000000037e+01 9.238260435062388420e-02
5.904337063659999694e+04 2.046316149999999823e+01 8.698030076418407364e-02
5.904637179399999877e+04 2.064672279999999915e+01 9.614505377238687089e-02
5.904649114579999878e+04 2.033480450000000062e+01 7.928358557943152030e-02
5.904944644680000056e+04 2.048467829999999879e+01 8.832715038483386627e-02
5.905244405089999782e+04 2.054219249999999874e+01 9.126942170135110555e-02
5.905249427080000169e+04 2.053000259999999955e+01 9.070086118022956112e-02
5.905338386570000148e+04 2.057737350000000021e+01 9.291036763889810868e-02
5.905539863429999969e+04 2.047253040000000013e+01 8.756481927114342922e-02
5.905741427079999994e+04 2.057813069999999911e+01 9.294568620840480688e-02
5.905940128469999763e+04 2.062678149999999988e+01 9.521495733221922719e-02
5.906245421299999725e+04 2.044433210000000045e+01 8.581504040758367036e-02
5.906740975690000050e+04 2.049429320000000132e+01 8.893421287019102894e-02
5.906844466439999815e+04 2.039310460000000091e+01 8.270739519972322706e-02
5.906937519679999969e+04 2.027182009999999934e+01 7.572012731960293952e-02
5.907034089120000135e+04 2.055456159999999954e+01 9.184632820381098683e-02
5.907143313659999694e+04 2.061058039999999991e+01 9.445926382988380221e-02
5.907238694440000108e+04 2.059568790000000149e+01 9.376459929961900031e-02
5.907336354169999686e+04 2.053201479999999890e+01 9.079468010795738175e-02
5.907539269680000143e+04 2.045749280000000070e+01 8.662824785418046791e-02
5.907734420140000293e+04 2.050460819999999984e+01 8.951636610496729873e-02
5.907738483799999813e+04 2.041980930000000072e+01 8.431586089438319886e-02
5.908040361110000231e+04 2.054680630000000008e+01 9.148462399335097195e-02
5.908130175929999677e+04 2.069812010000000058e+01 9.854236637792498921e-02
5.908435909720000200e+04 2.037072369999999921e+01 8.137884196703662476e-02
5.908534262730000046e+04 2.070586589999999916e+01 9.890364915274341140e-02
5.908830432869999640e+04 2.072669979999999867e+01 9.987547125696207007e-02
5.908927103009999701e+04 2.052496719999999897e+01 9.046601899738221375e-02
5.909040481480000017e+04 2.051738359999999872e+01 9.011223791840540509e-02
5.909226989579999645e+04 2.045786289999999852e+01 8.665118639816217494e-02
5.909340561339999840e+04 1.993767929999999922e+01 5.911936331575277231e-02
5.909734370369999669e+04 2.023016360000000091e+01 7.344037263065064658e-02
5.910735451389999798e+04 2.064977460000000065e+01 9.628742548013807800e-02
5.910930108800000016e+04 2.066394419999999954e+01 9.694828818494181932e-02
5.911227920140000060e+04 2.076860429999999980e+01 1.018299893534805045e-01
5.911230836809999892e+04 2.062991519999999923e+01 9.536112196074474079e-02
5.911623914350000268e+04 2.077464489999999842e+01 1.021117827194918393e-01
5.911724310189999960e+04 2.070555500000000038e+01 9.888915063530195892e-02
5.911836807869999757e+04 2.074168399999999934e+01 1.005743501436427434e-01
5.912929851849999977e+04 2.057607840000000010e+01 9.285001324669669986e-02
5.913126781250000204e+04 2.053259089999999887e+01 9.082156925752556120e-02
5.913423987270000362e+04 2.093672940000000082e+01 1.096719159868175114e-01
5.913624461809999775e+04 2.065074919999999992e+01 9.633285991925645553e-02
5.913822410880000098e+04 2.077725600000000128e+01 1.022335875194054777e-01
