# MJD Mag Magerr
5.536935835311636038e+04 1.582215831947389262e+01 4.680540086799765687e-02
5.554905177145438211e+04 1.586241218223508831e+01 5.123086772270232792e-02
5.664635418278997531e+04 1.581780359111856704e+01 5.439154938605961914e-02
5.683430603432036878e+04 1.574953328030969679e+01 5.017020436280573981e-02
5.701125257885277097e+04 1.569423022962890180e+01 5.393596157989974382e-02
5.719605622698435764e+04 1.581378625771419699e+01 5.509104053789456307e-02
5.737026140210439917e+04 1.579103339627144109e+01 5.867377233029703876e-02
5.756030693976475595e+04 1.559383195526510235e+01 4.362389214842119639e-02
5.772934436028968776e+04 1.589944210220016529e+01 6.484015747842009070e-02
5.773231377831078862e+04 1.568434287494517676e+01 5.508037468141269849e-02
5.792725198607191123e+04 1.584431886553569413e+01 5.510953155480873694e-02
5.809284329907957726e+04 1.573673140498945244e+01 5.208214045087163763e-02
5.829148717271036003e+04 1.515538399458879582e+01 3.048944283807166269e-02
5.845354299223524140e+04 1.521979547739762140e+01 3.471882261528948244e-02
5.865569701035479375e+04 1.529849338957098936e+01 3.742649509791098894e-02
5.865938783339999645e+04 1.540600000000000058e+01 1.680000000000000104e-01
5.881782336446114641e+04 1.536258353287405853e+01 3.886565423194412311e-02
5.882336457487999724e+04 1.545500000000000007e+01 1.519999999999999962e-01
5.902293813718653837e+04 1.534967232468224019e+01 3.614463992193876762e-02
5.918485248173608124e+04 1.549085743300626916e+01 4.509339198934982779e-02
5.938691274689290731e+04 1.547018440977626952e+01 4.254177478372090510e-02
5.954913422733421612e+04 1.543797741118787314e+01 4.355347229315482266e-02
5.975075565327229560e+04 1.554953181812948060e+01 6.538089312689737698e-02
5.975398661397885007e+04 1.533711333766715512e+01 4.266907446591317737e-02
5.991325260395027726e+04 1.554260685970926126e+01 4.355608544343625432e-02
5.991620113500970183e+04 1.546626515880004504e+01 4.493767999005643388e-02
