###MJD          m      dm   uJy   duJy F err chi/N     RA       Dec        x        y     maj  min   phi  apfit mag5sig Sky   Obs
58297.588271  18.262  0.135   180   24 o  0   1.22 341.47850  37.72398  1194.34  9059.14 3.22 2.92 -81.5 -0.439 18.62 19.78 01a58297o0683o
58297.599859  18.730  0.215   117   25 o  0   1.12 341.47850  37.72398  9319.75  1528.22 3.76 3.15 -83.0 -0.422 18.63 19.77 01a58297o0702o
58297.611239  18.881  0.328   102   33 o  0   0.88 341.47850  37.72398  9256.17  1451.15 4.03 3.45 -81.0 -0.401 18.56 19.67 01a58297o0721o
58297.622534  18.178  0.344   194   67 o  0   1.33 341.47850  37.72398  9246.37  1567.73 3.86 3.23 -83.0 -0.420 17.64 18.31 01a58297o0740o
58300.577847  18.472  0.123   148   18 o  0   0.68 341.47850  37.72398  9492.56 10255.66 2.47 2.03  38.3 -0.443 19.23 19.98 02a58300o0716o
58300.587820  18.385  0.117   161   19 o  0   1.09 341.47850  37.72398  1104.38   282.51 2.79 2.01  11.6 -0.539 19.10 19.97 02a58300o0735o
58300.597166  18.221  0.181   187   34 o  0   1.68 341.47850  37.72398  9458.01 10213.58 2.44 2.07  31.6 -0.434 18.23 18.89 02a58300o0754o
58300.606125  18.488  0.126   146   18 o  0   0.93 341.47850  37.72398  9428.63 10335.68 2.59 2.10  38.3 -0.454 18.82 19.74 02a58300o0773o
58303.624071  18.133  0.443   203   90 o  0   1.26 341.47850  37.72398   521.50 10185.13 2.42 1.89  15.1 -0.451 17.74 17.77 02a58303o0776o
58308.584107  18.890  0.099   101   10 c  0   1.15 341.47850  37.72398 10067.23  9722.56 3.09 2.66  43.5 -0.401 19.70 21.73 02a58308o0451c
58308.594004  18.792  0.091   110   10 c  0   1.00 341.47850  37.72398   518.47   824.26 2.63 2.31  46.7 -0.491 19.82 21.73 02a58308o0472c
58308.595457  19.158  0.151    79   12 c  0   1.27 341.47850  37.72398 10498.19   925.95 2.81 2.65  65.4 -0.391 19.76 21.73 02a58308o0475c
58308.603800  18.908  0.109    99   11 c  0   0.91 341.47850  37.72398   562.94   901.12 2.69 2.35  44.9 -0.495 19.78 21.69 02a58308o0493c
58308.605212  18.868  0.113   103   12 c  0   0.90 341.47850  37.72398 10480.12   886.30 2.80 2.58  68.5 -0.401 19.76 21.68 02a58308o0496c
58308.613635  18.711  0.085   119   10 c  0   1.56 341.47850  37.72398   589.72   782.32 2.75 2.34  43.0 -0.499 19.60 21.26 02a58308o0514c
58308.615019  18.273  1.132   178  202 c  0   0.07 341.47850  37.72398 10523.13   966.98 2.77 2.59  65.4 -0.403 19.53 21.10 02a58308o0517c
58310.561715  18.500  0.100   144   14 o  0   1.02 341.47850  37.72398  7875.67  1409.39 3.40 3.20 -16.2 -0.418 19.34 21.29 01a58310o0611o
58310.572684  18.572  0.087   135   12 o  0   1.29 341.47850  37.72398  2681.79  9217.58 2.66 2.58 -84.7 -0.483 19.37 21.18 01a58310o0630o
58310.582328  18.673  0.093   123   12 o  0   1.12 341.47850  37.72398  2619.80  9138.92 2.70 2.62 -75.3 -0.483 19.35 21.09 01a58310o0648o
58310.592285  18.412  0.102   157   16 o  0   0.98 341.47850  37.72398  7927.56  1325.27 3.58 3.14 -10.6 -0.405 19.33 21.23 01a58310o0667o
58312.555596  17.221  0.696   469  327 c  0   0.90 341.47850  37.72398   121.74   952.61 3.09 2.41  12.2 -0.481 16.61 18.35 02a58312o0665c
58312.565706  18.863  1.134   104  117 c  0   0.97 341.47850  37.72398 10517.63  9662.38 3.06 2.76  48.6 -0.438 17.50 19.38 02a58312o0686c
58312.567431  19.301  0.280    69   19 c  0   1.33 341.47850  37.72398   540.74  9588.45 2.71 2.42   3.7 -0.433 17.90 19.74 02a58312o0689c
58312.577076  18.795  0.225   110   25 c  0   1.13 341.47850  37.72398   151.67   992.79 2.87 2.44  24.0 -0.461 17.93 19.73 02a58312o0707c
58312.578594  19.743  1.182    46   54 c  0   0.96 341.47850  37.72398   556.85  9626.89 2.79 2.51   3.3 -0.434 17.47 19.33 02a58312o0710c
58312.587993  18.834  0.224   106   24 c  0   0.94 341.47850  37.72398   163.79   880.68 2.55 2.28  38.4 -0.491 18.64 20.45 02a58312o0728c
58312.589505  18.881  0.135   102   14 c  0   1.59 341.47850  37.72398   498.45  9547.29 2.79 2.43  -3.9 -0.431 18.95 20.99 02a58312o0731c
58312.600717  18.768  0.104   113   12 c  0   0.98 341.47850  37.72398 10123.34   915.28 2.76 2.58  58.3 -0.403 19.59 21.60 02a58312o0752c
58315.611304  19.111  0.119    82   10 c  0   1.05 341.47850  37.72398  1205.99  9396.59 2.59 2.31   8.2 -0.453 19.80 21.73 02a58315o0750c
58315.620691  18.781  0.147   112   16 c  0   1.01 341.47850  37.72398  1187.67  9356.67 2.69 2.37  11.2 -0.460 19.30 20.60 02a58315o0769c
58316.616187  18.773  0.122   112   14 c  0   1.35 341.47850  37.72398  8214.66   329.69 2.88 2.65 -67.3 -0.370 19.59 21.35 02a58316o0343c
58318.546006  18.462  0.092   150   14 o  0   1.14 341.47850  37.72398  9399.28   105.97 3.36 2.99 -80.0 -0.449 19.43 21.42 01a58318o0653o
58318.566577  18.513  0.095   143   14 o  0   1.13 341.47850  37.72398  1104.68 10456.79 2.98 2.65 -78.3 -0.498 19.37 21.29 01a58318o0689o
58320.544344  18.580  0.549   134   74 o  0   1.05 341.47850  37.72398  8266.12   227.49 2.24 2.11 -79.5 -0.411 17.51 18.73 02a58320o0664o
58320.553409  19.028  0.277    89   25 o  0   0.99 341.47850  37.72398  8232.38   188.62 2.19 2.06  63.2 -0.436 18.68 19.95 02a58320o0683o
58320.563361 -18.455  1.165  -151  175 o  0   1.39 341.47850  37.72398  8288.05   271.73 2.15 1.94 -69.3 -0.409 17.13 18.25 02a58320o0702o
58320.573726  18.470  0.101   149   15 o  0   1.04 341.47850  37.72398  8314.90   143.73 2.30 2.14  89.5 -0.424 19.17 20.57 02a58320o0721o
58324.521657  18.862  0.158   104   16 o  0   1.64 341.47850  37.72398  2408.60 10282.82 2.22 2.09 -23.6 -0.445 18.48 19.50 02a58324o0610o
58324.536807  18.367  0.084   163   14 o  0   1.11 341.47850  37.72398  8173.51   247.25 2.16 1.96  55.4 -0.435 19.39 20.20 02a58324o0640o
58324.546931  17.858  0.456   261  119 o  0   1.10 341.47850  37.72398  8229.85   330.12 2.23 1.96  47.7 -0.425 17.24 17.55 02a58324o0659o
58324.557451  17.199  1.179   479  565 o  0   1.05 341.47850  37.72398  2353.66 10362.54 2.24 2.01 -11.8 -0.465 15.33 15.43 02a58324o0678o
58328.501161  18.688  0.168   122   20 o  0   1.33 341.47850  37.72398  1372.08  9396.77 2.29 2.07 -19.9 -0.483 18.88 19.50 02a58328o0560o
58328.509528  18.373  0.135   162   22 o  0   1.04 341.47850  37.72398  1385.69  9433.06 2.23 2.04 -11.6 -0.490 18.96 19.59 02a58328o0578o
58328.517402  18.410  0.201   157   32 o  0   1.02 341.47850  37.72398  1323.80  9355.42 2.24 2.08 -19.8 -0.499 18.54 19.29 02a58328o0595o
58328.525754  18.468  0.202   149   30 o  0   0.90 341.47850  37.72398  1307.17  9475.13 2.27 2.12 -12.7 -0.492 18.79 19.34 02a58328o0613o
58329.550867  18.563  0.316   136   43 o  0   1.33 341.47850  37.72398 10313.32  1196.14 3.52 2.79 -79.7 -0.474 18.19 18.98 01a58329o0646o
58329.560786  18.223  0.515   187   96 o  0   1.14 341.47850  37.72398 10329.04  1232.58 3.59 2.83 -80.2 -0.474 17.22 17.79 01a58329o0666o
58329.569802  20.098  3.239    33  108 o  0   1.11 341.47850  37.72398   925.90  1382.33 3.04 2.79   0.2 -0.447 17.93 18.86 01a58329o0684o
58329.578773  18.066  0.176   216   38 o  0   1.49 341.47850  37.72398 10267.47  1155.82 3.52 2.95 -81.2 -0.467 18.24 19.08 01a58329o0702o
58329.579700 -18.889  0.445  -101   45 o  0   1.23 341.47850  37.72398   942.22  1420.49 3.06 2.88   1.8 -0.455 18.24 19.04 01a58329o0704o
58329.581324  18.909  0.467    99   46 o  0   0.98 341.47850  37.72398 10252.39  1273.84 3.62 2.85 -82.5 -0.477 18.17 19.03 01a58329o0707o
58329.599894  18.656  0.416   125   52 o  0   0.75 341.47850  37.72398   879.70  1338.33 3.12 2.85  -2.0 -0.448 18.18 18.96 01a58329o0741o
58329.604244  18.380  0.532   162   86 o  0   1.10 341.47850  37.72398   867.23  1454.08 2.95 2.76  -9.1 -0.463 17.60 18.18 01a58329o0748o
58334.525170  18.373  0.333   162   54 o  0   1.37 341.47850  37.72398  2936.38  8627.35 3.00 2.64 -85.0 -0.463 18.06 19.21 01a58334o0545o
58334.535913  18.511  0.157   143   22 o  0   1.16 341.47850  37.72398  2953.18  8664.03 2.69 2.61 -44.8 -0.467 18.75 19.93 01a58334o0568o
58334.544735  18.591  0.143   133   19 o  0   0.97 341.47850  37.72398  2890.57  8584.83 3.02 2.84 -14.2 -0.439 18.91 20.24 01a58334o0587o
58334.553574  18.282  0.104   177   18 o  0   1.19 341.47850  37.72398  2876.56  8699.54 3.01 2.66 -80.2 -0.455 18.97 20.28 01a58334o0606o
58338.504633  18.730  0.118   117   14 o  0   1.37 341.47850  37.72398  1665.46  9002.23 2.75 2.50 -83.8 -0.485 19.24 21.13 01a58338o0590o
58338.511216  18.659  0.100   125   12 o  0   1.15 341.47850  37.72398  1681.07  9039.49 2.81 2.49 -84.0 -0.486 19.32 21.25 01a58338o0604o
58338.525553  18.482  0.094   147   14 o  0   1.20 341.47850  37.72398  1618.97  8957.96 2.69 2.46 -13.2 -0.484 19.26 21.23 01a58338o0631o
58340.556202  18.765  0.131   113   15 c  0   1.39 341.47850  37.72398  9718.22  1306.65 2.59 2.49 -71.4 -0.412 19.06 20.99 02a58340o0002c
58340.562311  19.199  0.158    76   12 c  0   0.90 341.47850  37.72398  9749.10  1189.86 2.60 2.46 -72.0 -0.410 19.49 21.52 02a58340o0015c
58342.500327  18.664  0.102   124   13 o  0   0.88 341.47850  37.72398  1007.15  9997.05 3.02 2.60 -84.4 -0.502 19.51 21.56 01a58342o0564o
58342.508680  18.489  0.089   146   13 o  0   1.04 341.47850  37.72398  1023.49 10036.12 3.14 2.68 -85.7 -0.483 19.49 21.61 01a58342o0581o
58342.517508  18.341  0.082   167   14 o  0   0.90 341.47850  37.72398   961.98  9954.60 2.99 2.61 -83.1 -0.500 19.51 21.61 01a58342o0600o
58342.527262  18.651  0.109   126   14 o  0   1.16 341.47850  37.72398   947.34 10070.32 3.18 2.73 -80.0 -0.482 19.50 21.59 01a58342o0621o
58343.540104  18.960  0.111    95   10 c  0   0.94 341.47850  37.72398  2213.98  9366.77 2.67 2.44   3.8 -0.455 19.80 21.99 02a58343o0260c
58343.549845  18.834  0.087   106    9 c  0   1.18 341.47850  37.72398  2195.55  9327.17 2.72 2.50   3.9 -0.451 19.77 21.98 02a58343o0280c
58343.567540  19.148  0.122    80   10 c  0   1.12 341.47850  37.72398  2252.41  9403.42 2.83 2.61   5.3 -0.442 19.73 21.98 02a58343o0316c
58343.570793  18.966  0.109    94   10 c  0   0.93 341.47850  37.72398  2270.01  9285.05 2.71 2.50   0.8 -0.446 19.80 21.99 02a58343o0323c
58348.494133  18.447  0.068   152   10 o  0   1.25 341.47850  37.72398  9499.41  2836.31 2.18 2.12  64.3 -0.460 19.74 21.21 02a58348o0578o
58348.504866  18.493  0.069   146   10 o  0   1.20 341.47850  37.72398  9479.05  2800.15 2.23 2.09  58.9 -0.460 19.72 21.15 02a58348o0601o
58348.510439  18.601  0.085   132   11 o  0   1.04 341.47850  37.72398  9522.07  2876.05 2.25 2.10  59.9 -0.459 19.74 21.19 02a58348o0613o
58348.523682  18.544  0.059   139    8 o  0   2.66 341.47850  37.72398  9557.17  2765.85 2.24 2.06  46.1 -0.468 19.74 21.22 02a58348o0641o
58351.554642  18.536  0.086   140   12 o  0   1.64 341.47850  37.72398  8527.27 10442.00 2.66 2.24  37.7 -0.459 19.64 21.24 02a58351o0665o
58351.573381  18.601  0.088   132   12 o  0   1.29 341.47850  37.72398  8506.46 10403.13 2.71 2.32  42.2 -0.453 19.59 21.25 02a58351o0698o
58351.579294  18.866  0.128   103   13 o  0   2.08 341.47850  37.72398  8567.82 10482.84 2.64 2.25  38.6 -0.448 19.62 21.27 02a58351o0710o
58351.592094  18.693  0.098   121   12 o  0   1.33 341.47850  37.72398  8580.88 10365.43 3.16 2.70  38.6 -0.398 19.47 21.31 02a58351o0735o
58352.494871  18.929  1.432    97  139 o  0   1.41 341.47850  37.72398  9451.54  2602.64 2.26 2.11  48.3 -0.466 16.91 17.16 02a58352o0441o
58352.507380  18.959  1.104    95  105 o  0   0.60 341.47850  37.72398  9438.79  2567.43 2.21 2.03  46.0 -0.485 17.52 17.94 02a58352o0467o
58352.508335 -19.614  2.048   -52  106 o  0   1.50 341.47850  37.72398  9499.15  2646.31 2.18 2.02  48.8 -0.458 16.97 17.38 02a58352o0469o
58352.511951  18.062  0.233   216   50 o  0   1.15 341.47850  37.72398  9508.99  2526.37 2.21 2.13  66.0 -0.450 17.80 18.32 02a58352o0476o
58360.468376  18.530  0.100   141   14 o  0   1.33 341.47850  37.72398  8489.76  1376.89 2.17 1.93  52.5 -0.465 19.32 20.01 02a58360o0541o
58360.481034  18.550  0.108   138   15 o  0   0.90 341.47850  37.72398  8455.20  1338.95 2.30 2.05  47.8 -0.455 19.29 20.02 02a58360o0568o
58360.486078  18.780  0.155   112   17 o  0   0.98 341.47850  37.72398  8514.02  1416.30 2.44 2.08  48.6 -0.455 19.26 20.03 02a58360o0579o
58360.499700  18.502  0.123   144   18 o  0   0.86 341.47850  37.72398  8546.32  1304.06 2.36 2.06  47.0 -0.445 19.24 19.99 02a58360o0608o
58362.457561  18.595  0.145   132   19 o  0   0.77 341.47850  37.72398  2743.23  9305.36 3.34 2.86 -85.0 -0.442 19.15 20.69 01a58362o0518o
58362.470150  18.554  0.126   138   17 o  0   0.92 341.47850  37.72398  2759.86  9343.16 3.28 2.82 -81.4 -0.445 19.20 20.72 01a58362o0545o
58362.475272  18.463  0.116   150   17 o  0   0.85 341.47850  37.72398  2697.63  9264.76 3.37 2.94 -80.3 -0.441 19.14 20.68 01a58362o0556o
58362.488860  18.487  0.118   146   17 o  0   1.28 341.47850  37.72398  2683.50  9380.05 3.45 2.99 -83.0 -0.437 19.09 20.64 01a58362o0585o
58366.442954  18.483  0.114   147   17 o  0   1.07 341.47850  37.72398 10439.37  9834.46 4.68 2.93 -76.6 -0.421 19.41 21.30 01a58366o0493o
58366.452703  18.870  0.136   103   14 o  0   1.26 341.47850  37.72398   476.25  9990.53 2.98 2.61 -84.3 -0.498 19.38 21.30 01a58366o0514o
58366.453691  18.474  0.119   148   18 o  0   0.97 341.47850  37.72398 10456.57  9871.51 4.56 2.96 -79.0 -0.428 19.36 21.29 01a58366o0516o
58366.459783  18.708  0.145   119   17 o  0   0.97 341.47850  37.72398 10392.92  9795.46 4.74 3.07 -78.5 -0.396 19.36 21.29 01a58366o0529o
58366.460248  18.587  0.108   134   14 o  0   1.09 341.47850  37.72398   492.92 10029.61 3.24 2.73 -80.6 -0.480 19.34 21.28 01a58366o0530o
58366.473671  18.398  0.099   159   16 o  0   0.90 341.47850  37.72398   430.75  9948.73 3.22 2.86 -82.5 -0.479 19.34 21.28 01a58366o0559o
58366.474137  18.336  0.091   168   15 o  0   1.34 341.47850  37.72398 10381.18  9912.92 4.63 3.13 -78.5 -0.420 19.31 21.28 01a58366o0560o
58366.477840  18.548  0.123   138   17 o  0   0.68 341.47850  37.72398   417.33 10065.67 2.96 2.75 -73.5 -0.503 19.30 21.28 01a58366o0568o
58367.476621  18.393  0.074   160   12 o  0   1.34 341.47850  37.72398  1663.62 10391.22 2.97 2.67  21.2 -0.417 19.49 21.20 02a58367o0520o
58367.484958  18.632  0.094   128   12 o  0   0.89 341.47850  37.72398  1647.72 10352.33 2.62 2.15  18.0 -0.435 19.68 21.19 02a58367o0536o
58367.501798  18.609  0.097   131   13 o  0   1.05 341.47850  37.72398  1707.68 10428.04 2.59 2.19  15.7 -0.430 19.65 21.17 02a58367o0570o
58367.508254  18.504  0.091   144   13 o  0   0.98 341.47850  37.72398  1726.82 10310.73 2.97 2.51  18.9 -0.426 19.49 21.13 02a58367o0581o
58368.455311  18.603  0.092   131   12 o  0   0.91 341.47850  37.72398  7835.54  1075.72 2.15 2.06  51.8 -0.461 19.59 20.86 02a58368o0499o
58368.463210  18.618  0.097   130   13 o  0   0.79 341.47850  37.72398  7818.74  1035.49 2.26 2.04  49.3 -0.452 19.60 20.87 02a58368o0516o
58368.476311  18.586  0.083   134   11 o  0   1.11 341.47850  37.72398  7876.98  1115.44 2.25 2.03  47.7 -0.454 19.61 20.82 02a58368o0544o
58368.480425  18.583  0.085   134   11 o  0   1.03 341.47850  37.72398  7891.46   996.54 2.22 2.16 -78.4 -0.435 19.58 20.81 02a58368o0553o
58369.468510  18.791  0.140   110   16 o  0   1.09 341.47850  37.72398  7887.11    99.87 3.36 3.25 -65.7 -0.428 19.26 21.00 01a58369o0358o
58369.480212  18.640  0.125   127   16 o  0   0.89 341.47850  37.72398  7904.11   136.92 3.32 3.14 -83.5 -0.438 19.23 20.97 01a58369o0380o
58369.496545  18.387  0.125   160   20 o  0   0.92 341.47850  37.72398  7858.82    61.17 3.75 3.59 -75.9 -0.421 19.14 21.00 01a58369o0412o
58369.500244  18.561  0.106   137   14 o  0   1.32 341.47850  37.72398  7828.91   180.48 3.53 3.27 -77.8 -0.425 19.21 21.03 01a58369o0420o
58372.452447  18.575  0.080   135   11 o  0   1.32 341.47850  37.72398  9435.28   518.16 2.37 1.93  49.5 -0.465 19.72 21.00 02a58372o0523o
58372.460361  18.427  0.071   154   11 o  0   1.39 341.47850  37.72398  9419.13   476.70 2.40 1.93  45.9 -0.465 19.73 21.02 02a58372o0540o
58372.473974  18.527  0.084   141   12 o  0   0.86 341.47850  37.72398  9478.33   557.79 2.49 1.96  45.2 -0.458 19.71 21.03 02a58372o0569o
58372.477205  18.613  0.083   130   11 o  0   1.17 341.47850  37.72398  9493.78   438.47 2.04 1.93  88.4 -0.466 19.71 21.04 02a58372o0576o
58374.442466  18.586  0.098   134   13 o  0   1.18 341.47850  37.72398  2241.16  9326.54 3.19 2.81 -81.9 -0.448 19.41 21.35 01a58374o0396o
58374.454579  18.632  0.110   128   14 o  0   0.98 341.47850  37.72398  2272.89  9364.90 3.37 3.16 -26.9 -0.417 19.28 21.26 01a58374o0422o
58374.460216  17.707  0.053   300   16 o  0  24.99 341.47850  37.72398  2211.11  9285.47 3.44 3.29 -29.1 -0.405 19.25 21.24 01a58374o0434o
58374.473844  18.631  0.100   128   13 o  0   1.12 341.47850  37.72398  2195.21  9401.35 3.22 2.69 -82.5 -0.451 19.39 21.14 01a58374o0463o
58377.456505  18.543  0.119   139   17 o  0   0.66 341.47850  37.72398  1167.03   400.62 2.97 2.81   5.0 -0.459 19.43 21.18 01a58377o0472o
58377.468189  18.814  0.138   108   15 o  0   1.09 341.47850  37.72398  1185.36   439.11 3.05 2.84   0.2 -0.456 19.45 21.22 01a58377o0493o
58377.484739  18.418  0.235   156   37 o  0   0.78 341.47850  37.72398 10517.53   272.73 3.62 2.85 -83.0 -0.505 19.32 20.97 01a58377o0527o
58377.485663  18.603  0.136   131   18 o  0   0.75 341.47850  37.72398  1123.59   357.69 3.20 3.01   6.8 -0.449 19.27 20.96 01a58377o0529o
58377.489373  18.612  0.132   130   17 o  0   0.85 341.47850  37.72398  1110.41   475.71 3.04 2.95  22.2 -0.454 19.31 20.92 01a58377o0537o
58378.422991  18.559  0.103   137   14 o  0   0.83 341.47850  37.72398  1335.52  8994.87 2.96 2.63 -87.1 -0.456 19.34 21.03 01a58378o0465o
58378.432426  18.742  0.117   116   14 o  0   0.90 341.47850  37.72398  1351.93  9033.34 2.97 2.64 -82.5 -0.462 19.32 21.08 01a58378o0485o
58378.444147  18.520  0.097   142   14 o  0   1.20 341.47850  37.72398  1289.88  8954.12 3.09 2.91 -72.1 -0.427 19.32 21.08 01a58378o0510o
58378.449272  18.683  0.112   122   14 o  0   1.09 341.47850  37.72398  1276.17  9070.02 2.75 2.65 -30.8 -0.472 19.34 21.07 01a58378o0521o
58380.436305  18.312  0.119   172   20 o  0   1.14 341.47850  37.72398  7765.63   196.39 2.21 2.01  59.6 -0.452 19.08 20.01 02a58380o0498o
58380.446927  18.774  0.115   112   13 o  0   1.35 341.47850  37.72398  7749.91   157.93 2.35 2.13  56.2 -0.451 19.20 20.16 02a58380o0521o
58380.447878  18.504  0.110   144   16 o  0   0.93 341.47850  37.72398  7810.60   236.98 2.18 1.97  51.5 -0.456 19.42 20.31 02a58380o0523o
58380.452474  18.625  0.106   129   14 o  0   1.15 341.47850  37.72398  7825.78   117.62 2.36 2.06 -65.2 -0.422 19.32 20.33 02a58380o0533o
58383.489676  17.091  1.370   529  725 o  0   0.29 341.47850  37.72398  9254.17 10522.42 2.37 1.90  36.4 -0.480 19.04 19.59 02a58383o0561o
58384.412715  18.739  0.273   116   32 o  0   0.56 341.47850  37.72398   932.87   280.83 1.96 1.72  55.8 -0.624 18.65 19.13 02a58384o0447o
58384.419282  18.331  0.249   169   42 o  0   1.14 341.47850  37.72398   916.01   240.73 2.09 1.75  41.3 -0.595 17.97 18.14 02a58384o0461o
58384.432380  19.154  0.311    79   25 o  0   1.67 341.47850  37.72398   979.45   318.00 2.12 1.82  45.2 -0.610 18.49 18.84 02a58384o0489o
58384.437570  18.886  0.233   101   24 o  0   1.11 341.47850  37.72398   992.69   196.70 1.78 1.60  82.7 -0.649 18.54 18.97 02a58384o0500o
58385.425826  18.858  0.324   104   34 o  0   0.82 341.47850  37.72398 10287.08   858.12 3.53 2.88 -80.6 -0.456 18.56 19.41 01a58385o0286o
58385.427263  19.177  0.427    78   33 o  0   0.86 341.47850  37.72398   906.81  1044.59 2.93 2.80  -3.2 -0.473 18.59 19.35 01a58385o0289o
58385.435478  18.652  0.257   126   32 o  0   1.17 341.47850  37.72398   924.23  1084.70 3.11 2.81   1.3 -0.456 18.59 19.35 01a58385o0306o
58385.435957  18.446  0.206   152   31 o  0   1.43 341.47850  37.72398 10318.03   897.37 3.76 2.91 -81.8 -0.455 18.54 19.34 01a58385o0307o
58385.437380  19.040  0.346    88   30 o  0   1.13 341.47850  37.72398 10255.27   822.78 3.75 2.94 -84.5 -0.446 18.51 19.34 01a58385o0310o
58385.452715  18.381  0.213   161   34 o  0   1.05 341.47850  37.72398 10239.86   942.48 3.59 3.06 -78.8 -0.454 18.49 19.30 01a58385o0341o
58385.454557  18.839  0.351   106   37 o  0   0.88 341.47850  37.72398   859.98  1003.75 3.09 2.97  -4.1 -0.453 18.52 19.29 01a58385o0345o
58385.457579  18.411  0.269   157   42 o  0   0.63 341.47850  37.72398   847.23  1120.79 2.95 2.91  17.7 -0.469 18.50 19.28 01a58385o0351o
58386.425238  18.201  0.206   190   39 o  0   0.82 341.47850  37.72398  8657.64   954.33 3.82 3.57 -77.4 -0.406 18.26 19.22 01a58386o0373o
58386.437213  18.325  0.208   170   35 o  0   0.83 341.47850  37.72398  8675.26   993.45 3.48 3.25 -23.3 -0.406 18.40 19.21 01a58386o0399o
58386.443534  18.839  0.352   106   37 o  0   0.91 341.47850  37.72398  8612.54   916.34 3.50 3.30 -69.8 -0.418 18.38 19.20 01a58386o0412o
58386.456970  18.183  0.176   194   34 o  0   0.82 341.47850  37.72398  8600.65  1034.87 3.24 2.85 -82.1 -0.452 18.48 19.17 01a58386o0441o
58387.435459  18.214  0.113   188   21 o  0   1.43 341.47850  37.72398  8988.36  9277.92 2.16 1.93  25.9 -0.486 18.85 19.23 02a58387o0392o
58387.452224  18.754  0.487   114   56 o  0   1.70 341.47850  37.72398  8969.87  9234.63 3.16 2.29  82.1 -0.406 18.22 18.75 02a58387o0423o
58387.454970  18.459  0.313   150   47 o  0   1.52 341.47850  37.72398  9032.19  9315.75 2.14 1.89  19.7 -0.488 18.38 18.58 02a58387o0429o
58387.470987  19.382  1.604    64  103 o  0   0.94 341.47850  37.72398  9045.65  9196.12 2.24 2.00  20.3 -0.541 18.14 18.30 02a58387o0461o
58389.414703  18.593  0.171   133   23 o  0   1.40 341.47850  37.72398 10375.84   619.56 3.55 2.93 -77.6 -0.467 18.88 20.03 01a58389o0369o
58389.425596  18.406  0.158   158   25 o  0   1.26 341.47850  37.72398 10409.22   656.84 3.56 2.88 -82.7 -0.465 18.86 19.98 01a58389o0390o
58389.427191  18.578  0.185   134   25 o  0   0.88 341.47850  37.72398   993.49   812.90 3.17 2.92  -3.4 -0.445 18.85 19.96 01a58389o0393o
58389.436580  19.615  0.510    52   26 o  0   1.22 341.47850  37.72398 10347.05   580.77 3.53 2.87 -80.7 -0.469 18.79 19.78 01a58389o0411o
58389.438478  18.690  0.210   121   26 o  0   0.95 341.47850  37.72398  1011.22   850.31 3.07 2.88   3.6 -0.452 18.84 19.80 01a58389o0414o
58389.447770  18.573  0.193   135   26 o  0   1.08 341.47850  37.72398 10334.19   700.79 3.69 2.97 -81.5 -0.466 18.73 19.81 01a58389o0432o
58389.457544  18.746  0.301   115   35 o  0   0.86 341.47850  37.72398   949.80   767.96 3.57 3.45  27.3 -0.417 18.62 19.71 01a58389o0451o
58389.460778  18.658  0.249   125   31 o  0   0.79 341.47850  37.72398   936.80   886.08 3.21 3.11   7.7 -0.445 18.64 19.67 01a58389o0458o
58391.421578  18.756  0.135   114   15 o  0   0.93 341.47850  37.72398  1465.12  8737.62 2.20 2.04  -9.6 -0.469 19.30 20.22 02a58391o0441o
58391.433337  18.726  0.126   117   15 o  0   0.71 341.47850  37.72398  1449.26  8697.64 2.18 1.96   0.5 -0.482 19.39 20.25 02a58391o0462o
58391.445234  18.774  0.106   112   12 o  0   1.75 341.47850  37.72398  1509.87  8771.38 2.17 1.98  -1.6 -0.482 19.37 20.18 02a58391o0483o
58391.457080  18.522  0.103   142   15 o  0   1.23 341.47850  37.72398  1525.08  8650.82 2.26 2.03  -1.9 -0.460 19.20 20.10 02a58391o0504o
58394.413006  18.411  0.109   157   17 o  0   0.87 341.47850  37.72398  2984.87 10498.53 3.16 2.75 -76.2 -0.459 19.31 20.92 01a58394o0466o
58396.407242  18.973  0.161    94   15 c  0   1.25 341.47850  37.72398  9072.45  2214.34 2.64 2.55 -87.0 -0.416 19.17 20.85 02a58396o0447c
58396.414901  19.039  0.148    88   13 c  0   1.23 341.47850  37.72398  9054.65  2174.18 2.62 2.57  86.3 -0.420 19.31 21.02 02a58396o0463c
58396.428243  18.824  0.113   107   12 c  0   0.78 341.47850  37.72398  9098.17  2254.59 2.61 2.53  83.8 -0.419 19.54 21.33 02a58396o0492c
58396.432573  18.925  0.124    98   12 c  0   1.09 341.47850  37.72398  9129.13  2136.94 2.65 2.51 -52.6 -0.411 19.48 21.27 02a58396o0501c
58397.413284  18.804  0.146   109   16 o  0   1.01 341.47850  37.72398  1858.26  1036.09 3.27 2.93   0.3 -0.444 19.27 20.87 01a58397o0251o
58397.424252  18.860  0.146   104   15 o  0   1.24 341.47850  37.72398  1875.70  1074.12 3.14 2.88  -1.0 -0.449 19.28 20.83 01a58397o0272o
58397.434880  18.816  0.146   108   16 o  0   1.09 341.47850  37.72398  1829.09   994.45 3.09 2.89  -5.9 -0.460 19.27 20.88 01a58397o0293o
58397.445712  18.645  0.134   126   17 o  0   0.75 341.47850  37.72398  1801.91  1110.35 3.16 2.94   0.5 -0.448 19.28 20.99 01a58397o0314o
58401.433460  18.063  0.085   216   18 o  0   4.56 341.47850  37.72398   172.04   110.35 3.45 3.15 -10.5 -0.466 19.32 21.03 01a58401o0067o
