# MJD Mag Magerr
5.844309439810000185e+04 1.875959399999999988e+01 2.783152392765428709e-02
5.844732439809999778e+04 1.877085110000000157e+01 2.944240545263218656e-02
5.845613292820000061e+04 1.887464140000000157e+01 3.171329867940265307e-02
5.846909719909999694e+04 1.890010069999999942e+01 3.230182414835896382e-02
5.847513690969999880e+04 1.891665839999999932e+01 3.269147173388722849e-02
5.857351299770000333e+04 1.916392520000000133e+01 3.920889445223080250e-02
5.857351787039999908e+04 1.898124500000000126e+01 3.426497163461363765e-02
5.857352274310000212e+04 1.881355860000000035e+01 3.035243490945652156e-02
5.858250519679999707e+04 1.899389650000000174e+01 3.458338577797991087e-02
5.858251065969999763e+04 1.901262660000000082e+01 3.506112295854144079e-02
5.858251564810000127e+04 1.890019039999999961e+01 3.230391562879635775e-02
5.858252063659999840e+04 1.909364319999999893e+01 3.721666818954932898e-02
5.860149614580000343e+04 1.904176329999999950e+01 3.581948437476228930e-02
5.860749541670000326e+04 1.902614210000000128e+01 3.541059146397047136e-02
5.862848464119999699e+04 1.903563690000000008e+01 3.565848867647614800e-02
5.863442697919999773e+04 1.905021670000000000e+01 3.604300492951469093e-02
5.863743180559999746e+04 1.913720700000000008e+01 3.843773355474233017e-02
5.864047012730000279e+04 1.909851069999999851e+01 3.735089537068416593e-02
5.864347116899999673e+04 1.918149190000000104e+01 3.972533823373040895e-02
5.864646909720000258e+04 1.918608670000000060e+01 3.986165958230841050e-02
5.864837709490000270e+04 1.932186319999999924e+01 4.413282644190499870e-02
5.864837754629999836e+04 1.916086579999999984e+01 3.911970113422277850e-02
5.864837799770000129e+04 1.904160879999999878e+01 3.581540139878636869e-02
5.864837844909999694e+04 1.923256299999999896e+01 4.127020462317012445e-02
5.864837890049999987e+04 1.902328680000000105e+01 3.533643936785847012e-02
5.864837935190000280e+04 1.912268070000000009e+01 3.802560584255861714e-02
5.864837980319999770e+04 1.916274830000000051e+01 3.917457636810878913e-02
5.864838025460000063e+04 1.929466439999999849e+01 4.323863101509974050e-02
5.864838070600000356e+04 1.912834360000000089e+01 3.818568746390872681e-02
5.864838115739999921e+04 1.912157059999999831e+01 3.799432237789875100e-02
5.864838160880000214e+04 1.923917199999999994e+01 4.147493289597367627e-02
5.864838206019999780e+04 1.908990479999999934e+01 3.711394056490668197e-02
5.864838251160000073e+04 1.925394059999999996e+01 4.193648829140114720e-02
5.864838296299999638e+04 1.919966319999999982e+01 4.026753632912507402e-02
5.864838341439999931e+04 1.930479049999999930e+01 4.356920456667530417e-02
5.864838386570000148e+04 1.924755670000000052e+01 4.173629872489399706e-02
5.864838431709999713e+04 1.913853070000000045e+01 3.847552084615419449e-02
5.864838476850000006e+04 1.932362940000000151e+01 4.419156071104934913e-02
5.864838521990000299e+04 1.912319949999999835e+01 3.804026508537142887e-02
5.864838567129999865e+04 1.909846119999999914e+01 3.734954140261954880e-02
5.864838612270000158e+04 1.913287349999999876e+01 3.831427490277818093e-02
5.864838657409999723e+04 1.906375309999999956e+01 3.640425348036490510e-02
5.864838702550000016e+04 1.905827899999999886e+01 3.625766670909102984e-02
5.864838747690000309e+04 1.908504680000000064e+01 3.698093823413821368e-02
5.864838792819999799e+04 1.898600769999999827e+01 3.438444213362121249e-02
5.864838837960000092e+04 1.913964839999999867e+01 3.850748659814722669e-02
5.864838883099999657e+04 1.922438430000000054e+01 4.101841931331742797e-02
5.864838928239999950e+04 1.923041920000000005e+01 4.120404983404265392e-02
5.864838973380000243e+04 1.900169179999999969e+01 3.478132320938898125e-02
5.864839018519999809e+04 1.922669600000000045e+01 4.108941566257567901e-02
5.864839063660000102e+04 1.914220810000000128e+01 3.858076676088735557e-02
5.864839108799999667e+04 1.919457819999999870e+01 4.011497266707254178e-02
5.864839153939999960e+04 1.908487699999999876e+01 3.697627840045019515e-02
5.864839199070000177e+04 1.911578749999999971e+01 3.783180145028558483e-02
5.864839244209999742e+04 1.936262320000000159e+01 4.551057797239553560e-02
5.864839289350000035e+04 1.911778260000000174e+01 3.788779355933248605e-02
5.864839334490000329e+04 1.919401930000000078e+01 4.009827193627176628e-02
5.864839379629999894e+04 1.905011749999999893e+01 3.604037604792360155e-02
5.864839424770000187e+04 1.908718109999999868e+01 3.703929321120513068e-02
5.864839469909999752e+04 1.909960369999999941e+01 3.738111994293920326e-02
5.864839515050000045e+04 1.906526759999999854e+01 3.644494627354066124e-02
5.864839560190000338e+04 1.928540040000000033e+01 4.293858234402919000e-02
5.864839605319999828e+04 1.907123569999999901e+01 3.660572595070515911e-02
5.864839650460000121e+04 1.912656399999999834e+01 3.813529832757459048e-02
5.864839695599999686e+04 1.907127949999999927e+01 3.660691657710332669e-02
5.864839740739999979e+04 1.916926189999999863e+01 3.936500107281046962e-02
5.864839785880000272e+04 1.911232760000000042e+01 3.773495327710715136e-02
5.864839831019999838e+04 1.908023449999999954e+01 3.684970352890135775e-02
5.864839876160000131e+04 1.917603109999999944e+01 3.956398693144400069e-02
5.864839922449999722e+04 1.920132449999999835e+01 4.031753302119565202e-02
5.864839967590000015e+04 1.921405220000000114e+01 4.070270257018934745e-02
5.864840012730000308e+04 1.909193420000000074e+01 3.716965605378078769e-02
5.864840057869999873e+04 1.916897200000000012e+01 3.935647690056326420e-02
5.864840103010000166e+04 1.904805370000000053e+01 3.598567207529997786e-02
5.864840148149999732e+04 1.916093250000000126e+01 3.912164518289629189e-02
5.864840193290000025e+04 1.917287449999999893e+01 3.947104785668400367e-02
5.864840238430000318e+04 1.925586889999999940e+01 4.199717976140512898e-02
5.864840283559999807e+04 1.909773249999999933e+01 3.732939522331676224e-02
5.864840329860000202e+04 1.904686549999999912e+01 3.595420412648090563e-02
5.864840374999999767e+04 1.906486130000000045e+01 3.643402493859456553e-02
5.864840420140000060e+04 1.921149249999999853e+01 4.062491530882592766e-02
5.864840464120000252e+04 1.902402879999999996e+01 3.535568200611625272e-02
5.864840510419999919e+04 1.916860009999999903e+01 3.934557932440500144e-02
5.864840555560000212e+04 1.912638279999999824e+01 3.813017484397015350e-02
5.864840599539999675e+04 1.909936899999999937e+01 3.737462410649383671e-02
5.864840645829999994e+04 1.925685500000000161e+01 4.202824204306384454e-02
5.864840689810000185e+04 1.909980390000000128e+01 3.738666224589014264e-02
5.864840734949999751e+04 1.919075390000000070e+01 4.000065987563761888e-02
5.864840780090000044e+04 1.917140769999999961e+01 3.942796058781511404e-02
5.864841155089999666e+04 1.925053409999999943e+01 4.182954857308432417e-02
5.864841201390000060e+04 1.910841939999999894e+01 3.762585355970584494e-02
5.864841246530000353e+04 1.905494879999999824e+01 3.616883960168498779e-02
5.864841290509999817e+04 1.915772060000000110e+01 3.902827413660366757e-02
5.864841335650000110e+04 1.915033150000000006e+01 3.881441046845125059e-02
5.864841380789999675e+04 1.925241469999999921e+01 4.188853839061939394e-02
5.864841425929999969e+04 1.910092159999999950e+01 3.741760594574165127e-02
5.864841471060000185e+04 1.923080440000000024e+01 4.121592470248319068e-02
5.864841516199999751e+04 1.912901880000000077e+01 3.820481159106998287e-02
5.864841562500000146e+04 1.916584969999999899e+01 3.926509459209272940e-02
5.864841607639999711e+04 1.914260289999999998e+01 3.859208054009701655e-02
5.864841652780000004e+04 1.914783100000000005e+01 3.874231562880842833e-02
5.864841788190000079e+04 1.915551759999999959e+01 3.896437162399563059e-02
5.864841833329999645e+04 1.914917949999999891e+01 3.878115926704069766e-02
5.864841878469999938e+04 1.913579749999999891e+01 3.839753863545120743e-02
5.864841923610000231e+04 1.913031769999999909e+01 3.824166642076949618e-02
5.864841968749999796e+04 1.921878620000000026e+01 4.084703706494378223e-02
5.864842013890000089e+04 1.925953289999999996e+01 4.211272270650728844e-02
5.864842059029999655e+04 1.913521769999999833e+01 3.838099071042583993e-02
5.864842104169999948e+04 1.920882230000000135e+01 4.054393800592986929e-02
5.864842149310000241e+04 1.927014159999999876e+01 4.244932066643720275e-02
5.864842194439999730e+04 1.910116389999999953e+01 3.742430733812830701e-02
5.864842239580000023e+04 1.913772579999999834e+01 3.845253761302393214e-02
5.864842284720000316e+04 1.917875289999999922e+01 3.964430563508406641e-02
5.864842329859999882e+04 1.914846419999999938e+01 3.876054682152640235e-02
5.864842375000000175e+04 1.917414859999999877e+01 3.950854268873116998e-02
5.864842420139999740e+04 1.919736479999999901e+01 4.019850771661750977e-02
5.864842465280000033e+04 1.913782120000000120e+01 3.845526138834506197e-02
5.864842510420000326e+04 1.909515760000000029e+01 3.725835673049435193e-02
5.864842555559999892e+04 1.919212909999999894e+01 4.004174249678184305e-02
5.864842600690000108e+04 1.917492869999999883e+01 3.953149431418831461e-02
5.864842645829999674e+04 1.922146800000000155e+01 4.092901796449437829e-02
5.864842690969999967e+04 1.921516039999999848e+01 4.073644372588857560e-02
5.864842736110000260e+04 1.919299129999999920e+01 4.006750211397775568e-02
5.864842781249999825e+04 1.910201259999999834e+01 3.744782259840073735e-02
5.864842826390000118e+04 1.918638990000000177e+01 3.987069739692147147e-02
5.864842871529999684e+04 1.910424420000000012e+01 3.750973368618091414e-02
5.864842916669999977e+04 1.913651079999999993e+01 3.841786922820251970e-02
5.864842961810000270e+04 1.905136489999999938e+01 3.607347974685959358e-02
5.864843006939999759e+04 1.915496639999999928e+01 3.894841370886849286e-02
5.864843052080000052e+04 1.916521069999999938e+01 3.924642357895685024e-02
5.864843098379999719e+04 1.910819439999999858e+01 3.761957628996653868e-02
5.864843142359999911e+04 1.909167860000000161e+01 3.716264120095802426e-02
5.864843187500000204e+04 1.921828839999999872e+01 4.083182203620095568e-02
5.864843232639999769e+04 1.919774059999999949e+01 4.020977673596792812e-02
5.864843277780000062e+04 1.918193240000000088e+01 3.973836681759512768e-02
5.864843322920000355e+04 1.918972780000000000e+01 3.997008493197250212e-02
5.864843369209999946e+04 1.908932300000000026e+01 3.709798272049022461e-02
5.864843413190000138e+04 1.911392590000000169e+01 3.777963683953456525e-02
5.864843459489999805e+04 1.921611400000000103e+01 4.076549605652176472e-02
5.864843504630000098e+04 1.912760159999999843e+01 3.816465358275283881e-02
5.864843549769999663e+04 1.910690689999999847e+01 3.758372774392733373e-02
5.864843594909999956e+04 1.917614169999999874e+01 3.956725326979833313e-02
5.864843685189999815e+04 1.923946000000000112e+01 4.148389964635522398e-02
5.864843729170000006e+04 1.923587799999999959e+01 4.137276105726104408e-02
5.864843774310000299e+04 1.911081499999999878e+01 3.769268787845003049e-02
5.864843819439999788e+04 1.924608990000000119e+01 4.169046399262680419e-02
5.864843865740000183e+04 1.915140339999999952e+01 3.884534886500189826e-02
5.864843910879999748e+04 1.922094540000000151e+01 4.091303904829583782e-02
5.864843956020000041e+04 1.913397409999999965e+01 3.834558474252097726e-02
5.864844001160000334e+04 1.918091199999999930e+01 3.970815285194180533e-02
5.864844046299999900e+04 1.912727170000000143e+01 3.815533914796698234e-02
5.864844091440000193e+04 1.923986629999999920e+01 4.149652793707111348e-02
5.864844136569999682e+04 1.915228460000000155e+01 3.887080032506257110e-02
5.865244458329999907e+04 1.914447210000000155e+01 3.864571508442476294e-02
5.865540108799999871e+04 1.913031580000000176e+01 3.626837994251143338e-02
