3.141812500000000000e+03 -4.505375500000000174e-17 4.572499999999999851e-16 1.067490000000000041e-16 0.000000000000000000e+00 1.060729999999999933e+02 1.082760000000000000e+14 0.000000000000000000e+00
3.142928199999999833e+03 -3.681118132084509934e-17 6.035479999999999812e-16 1.101929999999999991e-16 1.000000000000000000e+00 1.060729999999999933e+02 1.083480000000000000e+14 0.000000000000000000e+00
3.144044400000000223e+03 8.688663008352726309e-17 6.393579999999999655e-16 1.162429999999999938e-16 2.000000000000000000e+00 1.060729999999999933e+02 1.091920000000000000e+14 0.000000000000000000e+00
3.145160899999999856e+03 9.831883132164572949e-17 6.762659999999999728e-16 1.140539999999999942e-16 3.000000000000000000e+00 1.060720000000000027e+02 1.099980000000000000e+14 0.000000000000000000e+00
3.146277599999999893e+03 1.094973976520943715e-16 6.522330000000000022e-16 1.116109999999999957e-16 4.000000000000000000e+00 1.060720000000000027e+02 1.108970000000000000e+14 0.000000000000000000e+00
3.147394800000000032e+03 2.094642333512505538e-17 6.999660000000000424e-16 1.077719999999999963e-16 5.000000000000000000e+00 1.060720000000000027e+02 1.118780000000000000e+14 0.000000000000000000e+00
3.148512000000000171e+03 4.785410268055867921e-17 6.273050000000000436e-16 1.092289999999999971e-16 6.000000000000000000e+00 1.060720000000000027e+02 1.128860000000000000e+14 0.000000000000000000e+00
3.149629399999999805e+03 -1.646970904577359983e-17 5.229749999999999832e-16 1.033309999999999997e-16 7.000000000000000000e+00 1.060720000000000027e+02 1.140840000000000000e+14 0.000000000000000000e+00
3.150747299999999996e+03 1.020146521245110646e-16 4.775749999999999752e-16 1.093309999999999986e-16 8.000000000000000000e+00 1.060720000000000027e+02 1.156100000000000000e+14 0.000000000000000000e+00
3.151865200000000186e+03 9.130995538613236992e-17 6.061860000000000253e-16 1.091010000000000052e-16 9.000000000000000000e+00 1.060720000000000027e+02 1.175760000000000000e+14 0.000000000000000000e+00
3.152983600000000024e+03 1.671342034330516798e-17 4.977049999999999690e-16 1.007870000000000046e-16 1.000000000000000000e+01 1.060709999999999980e+02 1.198780000000000000e+14 0.000000000000000000e+00
3.154102300000000014e+03 -4.075632896571357424e-17 5.456529999999999545e-16 9.557169999999999506e-17 1.100000000000000000e+01 1.060709999999999980e+02 1.223040000000000000e+14 0.000000000000000000e+00
3.155220899999999801e+03 1.308641064684621890e-17 5.116929999999999904e-16 9.627429999999999931e-17 1.200000000000000000e+01 1.060709999999999980e+02 1.248140000000000000e+14 0.000000000000000000e+00
3.156340099999999893e+03 5.020150997476085784e-17 5.216100000000000094e-16 9.577569999999999798e-17 1.300000000000000000e+01 1.060709999999999980e+02 1.273650000000000000e+14 0.000000000000000000e+00
